num,title,link,content
1,"[단독] 주택금융공사 시험장서 확진자…8일부터 증상, 쇼핑몰도 방문",http://news.mk.co.kr/newsRead.php?no=860119&year=2020,주말 5급 공채·국회 9급 등 수험생들 불안감 고조 주택금융공사 필기시험을 본 응시자 중 코로나19 확진자가 발생하면서 이번 주말 공무원 시험을 앞두고 있는 수험생들이 불안감이 고조되고 있다 20일 주택금융공사는...
2,"우리금융, 스타트업 대상 금융 IT 교육",http://it.chosun.com/site/data/html_dir/2020/08/21/2020082100838.html,우리금융그룹은 스타트업(Start-up) 육성 프로그램인 디노랩(Digital Innovation Lab) 입주기업을 대상으로 서울 성수동 통합센터에서 금융IT 교육을 실시했다고 21일 밝혔다. 그동안 혁신적인 아이디어를 보유한 기업이라도...
3,금융 공기관 채용 기지개... 코로나 재확산은 ‘변수’,http://www.fnnews.com/news/202008210924480297,"이달 금융감독원, 한국수출입은행, 한국예탁결제원, 예금보험공사, 주택도시보증공사 등 금융 공기관에서 신입채용에 기지개를 켰다. 이후 다음 달 일제히 필기 전형이 잡힌 가운데, 최근 코로나19 재확산 추세가 변수로..."
4,주택금융공사 공채 시험장서 코로나 확진자... 같은 고사실 10명 시험봐,https://biz.chosun.com/site/data/html_dir/2020/08/21/2020082100675.html?utm_source=naver&utm_medium=original&utm_campaign=biz,이달 15일 진행된 한국주택금융공사 신입직원 채용 필기전형 응시자 중 신종 코로나바이러스 감염증(코로나19) 확진자가 발생했다. 21일 주택금융공사와 방역당국에 따르면 이 확진자는 서울 강동구에 거주하는...
5,"이베스트투자증권, 최대 연 10% 금리효과 제휴금융상품 출시",http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202008210167&t=NN,"이베스트투자증권(대표이사 사장 김원규)은 수협은행, SK플래닛과 손잡고 연이율 최대 10%의 고금리 효과 제휴 금융상품을 이달 말까지 판매한다고 21일 밝혔다. 회사 설명에 따르면 이번 제휴 금융상품은 SK플래닛의..."
6,"윤종규 KB금융 회장, MZ세대들과 언택트 소통",http://www.edaily.co.kr/news/newspath.asp?newsid=02525606625869616,KB금융그룹은 19일 그룹내 MZ세대 직원들과 ‘e-소통라이브’ 시간을 개최했다. 이 행사는 윤종규 KB금융그룹 회장이 직원들과 소통하기 위해 유튜브 생중계로 진행됐다. 지난 12일에 이은 두번째 e-소통라이브이기도 하다....
7,"KB금융 윤종규 회장, 차세대 리더들과 두번째 소통 시간 가져",http://www.joseilbo.com/news/news_read.php?uid=404489&class=51&grp=,KB금융그룹은 윤종규 회장이 지난 12일에 이어 19일 그룹 MZ세대 직원들과 함께 유튜브 생중계를 통해 격의... 이날 행사에는 지난 회차에 아쉽게 참가하지 못했던 주니어보드 활동 직원 등 다양한 MZ세대 직원들이 KB금융그...
8,"기재차관 ""코로나19 재확산에 소상공 2차 금융지원 지속""(종합)",http://www.newsis.com/view/?id=NISX20200821_0001137089&cID=10401&pID=10400,"김용범 기획재정부 1차관은 21일 ""지원 여력이 충분히 남아있는 소상공인 2차 금융지원 프로그램을 통해 적극적인 금융지원을 지속하겠다""고 강조했다. 김 차관은 이날 정부서울청사에서 '제22차 혁신성장 전략점검회의 겸..."
9,[단독]'전 금융권 참여' 금융사기 막기 위한 첫 TF 회의 열린다,https://view.asiae.co.kr/article/2020082109505832799,전 금융권과 금융보안원이 보이스피싱 방지 협업을 위해 처음으로 한 자리에 모인다. 정부가 지난 6월 말 '보이스피싱 척결 종합방안'을 발표하며 보이스피싱 예방ㆍ차단ㆍ처벌 등 전 단계에 걸친 대응 강화를 주문한...
10,"신한금융, 네오플럭스 730억 원에 인수…“그룹 시너지 기대”",https://cnbc.sbs.co.kr/article_hub/10000993604?division=NAVER,신한금융지주가 벤처캐피탈 네오플럭스를 인수합니다. 신한금융지주는 어제(20일) 두산과 네오플럭스 주식매매계약을 체결하고 730억 원(잠정)에 인수하기로 결정했다고 밝혔습니다. 향후 확인 실사를 통한 매매대금 조정...
11,"전북은행, 외국인 근로자 금융지원 도내까지 확대 시행",http://sjbnews.com/news/news.php?number=691737,"전북은행은 서울과 수도권을 중심으로 활발하게 시행해 온 외국인 근로자 금융지원을 도내까지 확대 시행한다고 20일 밝혔다. 이를 위해 전북은행 따뜻한 금융클리닉 전주센터에서는 지난 6월부터 도내 3만6,000여명의..."
12,"신한금융, 네오플럭스 인수 위한 주식매매계약 체결",http://www.etnews.com/20200820000267,신한금융지주(회장 조용병)는 두산과 네오플럭스 주식매매계약(SPA)을 체결했다고 20일 밝혔다.. 앞서 양사는 각각 이사회를 열어 네오플럭스 지분 매매에 대한 안건을 의결했다. 이날 신한금융은 네오플럭스 보통주...
13,코로나19 재확산에 금융권 콜센터 또 '비상',https://www.news1.kr/articles/?4032509,"재확산하면서 금융권에 비상이 걸렸다. 방역당국이 감염 위험이 높은 곳을 중심으로 현재까지 총 150개 장소에 대해 역학조사를 진행했는데, 확진자가 나온 콜센터 4곳이 공교롭게 모두 금융사였다. 21일 금융권에 따르면..."
14,부동산 금융에 몰린 돈 2100조원… “실물경제 위험 전이 우려”,https://cnbc.sbs.co.kr/article_hub/10000993595?division=NAVER,"저금리 속에 집값 상승세가 계속되면서 부동산 금융에 몰린 돈이 2,100조 원을 넘은 것으로 나타났습니다. 정의당 장혜영 의원이 한국은행으로부터 받은 자료를 보면 올해 1분기 기준 부동산 금융 익스포저..."
15,"[TF현장] KB금융 노협 ""회장 추천 절차 '요식행위'에 불과"" 연임 반대",http://news.tf.co.kr/read/economy/1808006.htm,"KB금융 ""노조 의견 수용했다"" ""KB금융그룹 소속 직원 10명 중 8명이 윤종규 현 회장의 3연임에 반대하고 있다."" KB금융그룹 노동조합협의회(이하 KB노협)는 20일 오전 10시 서울 여의도 KB국민은행 본점에서 열린 '윤종규 회장..."
16,"우리금융, 스타트업 대상 ‘금융 IT교육’",http://news.heraldcorp.com/view.php?ud=20200821000281,우리금융그룹(회장 손태승)이 스타트업 육성 프로그램 '디노랩(Digital Innovation Lab)' 입주기업을 대상으로 금융IT 교육을 실시했다. 21일 우리금융은 혁신 스타트업도 금융권 IT시스템 전반에 대한 경험과 이해가...
17,"이베스트투자증권, 최대 연 10% 금리효과 제휴금융상품 출시",http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202008210167&t=NN,"이베스트투자증권(대표이사 사장 김원규)은 수협은행, SK플래닛과 손잡고 연이율 최대 10%의 고금리 효과 제휴 금융상품을 이달 말까지 판매한다고 21일 밝혔다. 회사 설명에 따르면 이번 제휴 금융상품은 SK플래닛의..."
18,하반기 채용...금융·전자·통신 맑음 여행·항공·차 흐림,https://zdnet.co.kr/view/?no=20200820074917,코로나19 쇼크로 여행·항공업에서는 역대 가장 낮은 채용계획을 세운 반면 금융보험 및 정보통신 등... 조사업종 15개 가운데 ▲금융·보험(64.1%) ▲전자·반도체(63.3%) ▲정보·통신(61.1%) ▲의료·간호(60.0%) ▲운수·운송...
19,"윤종규 KB금융 회장, MZ세대들과 언택트 소통",http://www.edaily.co.kr/news/newspath.asp?newsid=02525606625869616,KB금융그룹은 19일 그룹내 MZ세대 직원들과 ‘e-소통라이브’ 시간을 개최했다. 이 행사는 윤종규 KB금융그룹 회장이 직원들과 소통하기 위해 유튜브 생중계로 진행됐다. 지난 12일에 이은 두번째 e-소통라이브이기도 하다....
20,"KB금융 윤종규 회장, 차세대 리더들과 두번째 소통 시간 가져",http://www.joseilbo.com/news/news_read.php?uid=404489&class=51&grp=,KB금융그룹은 윤종규 회장이 지난 12일에 이어 19일 그룹 MZ세대 직원들과 함께 유튜브 생중계를 통해 격의... 이날 행사에는 지난 회차에 아쉽게 참가하지 못했던 주니어보드 활동 직원 등 다양한 MZ세대 직원들이 KB금융그...
